"Cluster_1","Cluster_2","subject_id"
0,1,"SH012"
1.24126707662364e-16,1,"SH019"
5.55111512312578e-17,1,"SH032"
1,1.11022302462516e-16,"SH055"
5.55111512312578e-17,1,"SH058"
1,7.85046229341888e-17,"SH060"
5.55111512312578e-17,1,"SH061"
1,7.85046229341888e-17,"SH064"
1,7.85046229341888e-17,"SH067"
1,1.57009245868377e-16,"SH068"
1.24126707662364e-16,1,"SH071"
5.55111512312578e-17,1,"SH072"
1.57009245868377e-16,1,"SH073"
2.77555756156289e-16,1,"SH074"
